"supplier_name","country","city","vat_number","registration_number","supplier_code"
"ENDEL GDF SUEZ","FR","AVOINE",NA,"43827703000112","SCTN01"
"ASSYSTEMS (FR) - INBIS (UK) CONSORTIUM","FR","PARIS",NA,NA,"GR2T60"
"CHAVANEL MANUTENTION","FR","SALES/RUMILLY",NA,NA,"CHAV04"
"FENWICK DE-STA-CO","FR","ST OUEN CEDEX",NA,"60200874000261","FENW55"
"AW LEVAGE","FR","CIVRIEUX EN DOMBES",NA,"478679459","AW--02"
"REEL","FR","ST BONNET DE MURE",NA,NA,"REEL50"
"GISMARTWARE","FR","CHAMPAGNE AU MONT D'OR",NA,NA,"GISM02"
"TRAD","FR","LABEGE CEDEX",NA,NA,"TRAD02"
"CABLERIE PLANCHER","FR","BEAUGENCY",NA,NA,"CABL11"
"ALSTOM (FRANCE)","FR","ST JEAN DE BRAYE",NA,"38905844700043","ALST88"
"HIREX ENGINEERING SAS","FR","RAMONVILLE SAINT AGNE",NA,"38971552500041","HIRE01"
"CEA - DAM VALDUC (FOR RADIOACTIVE SHIPMENT ONLY)","FR","IS SUR TILLE",NA,NA,"CEA-03"
"BAUER GEAR MOTOR (FRANCE)","FR","TRAPPES",NA,NA,"DANF01"
"PIE DIFFUSION","FR","ACHERES",NA,NA,"PIE-01"
"OMERIN","FR","AMBERT",NA,NA,"OMER02"
"REMI GAILLARD INGENIEUR CONSEIL","FR","SAINT-ARNOULT EN YVELINES",NA,"45404146800017","RGI-01"
"AZ PRO CONCEPT","FR","BELIGNEUX",NA,"30442995400049","AZ--03"
"DESCOURS & CABAUD  - PROLIANS","FR","BELLEGARDE SUR VALSERINE",NA,"38976785600088","DESC50"
"JACOB-DOSATEC","FR","EAUBONNE","381570746000","38157074600044","JACO10"
"YELLOZ COMPONENTS","FR","BRON",NA,"38513143800165","YELL01"
"EXOLIGENT EX HLP TECHNOLOGIES","FR","COLOMBES",NA,NA,"HLP-01"
"SECTOR TECHNOLOGIES","FR","EYBENS","6150372437","503 724 379 00014","TEC676"
"FARNELL","FR","LIMONEST CEDEX",NA,"388 245 029 00086","FARN45"
"KAESER FRANCE","FR","VAULX EN VELIN",NA,"31344635300036","KAES01"
"COLFAX POMPES ( EX POMPES ALLWEILER)","FR","TOURS","05314439886","31443988600081","ALLW75"
"AIR LIQUIDE (FRANCE)","FR","CHAMPIGNY SUR MARNE","81552096281","31411950401002","LAIR50"
"L'AIR LIQUIDE (FRANCE)","FR","CHAMPIGNY SUR MARNE","81552096281","31411950401002","LAIR50"
"AERZEN FRANCE","FR","ANTONY CEDEX",NA,"69200346000015","AERZ01"
"AERZEN (FRANCE)","FR","ANTONY CEDEX",NA,"69200346000015","AERZ01"
"ALCATEL (FRANCE)","FR","VELIZY VILLACOUBLAY CEDEX",NA,"48763109500030","ALCA68"
"ENSIVAL MORET KESTNER","FR","TOURS CEDEX 2",NA,"33414876400023","ENSI25"
"WEG FRANCE SAS","FR","SAINT QUENTIN FALLAVIER CEDEX","61481072163","481 072 163","WFS-02"
"JOHNSON CONTROLS INDUSTRIES SAS","FR","DECINES CEDEX",NA,"34305695800089","JCI-01"
"SKF MAGNETIC MECHATRONIC SAS (S2M)","FR","SAINT MARCEL","306954736","30695473600022","S---03"
"EFD INDUCTION","FR","SEYSSINET-PARISET",NA,"32979001800025","EFD-03"
"AIP (NIEF PLASTIC)","FR","CHASSIEU CEDEX",NA,"32509072800024","AIP-01"
"INEO GDF SUEZ","FR","SAINT GENIS POUILLY","18313987547","40986811400284","INEO01"
"MABEO CYCLADES ANNEMASSE","FR","VILLE-LA-GRAND",NA,"33256495400318","MCA-02"
"PHYSICAL INSTRUMENTS","FR","LE PERREUX SUR MAME",NA,"48270099400031","INS169"
"T.M. FORISSIER","FR","ST CHAMOND CEDEX 1",NA,"58450229800022","FORI50"
"MULTI BAC","FR","TOULOUSE","17492731807","49273180700011","MULT47"
"BENE-INOX","FR","SAINT PRIEST MI-PLAINE","311810287","31181028700012","BENE75"
"COUDRAY TECHNOLOGIES","FR","MAGLAND",NA,"39398626000023","TEC533"
"SPI ENERGIE","FR","THYEZ",NA,"40865027300027","SPI-02"
"KROHNE SA","FR","ROMANS CEDEX",NA,"43638013300021","KROH50"
"VULCANIC SA","FR","NEUILLY-SUR-MARNE",NA,"34759217200014","VULC25"
"IPDIA","FR","CAEN",NA,"51260386100026","IPDI01"
"RDS - REGULATION DES SYSTEMES","FR","LES MARCHES",NA,"33865531900048","RDS-50"
"OLYMPUS FRANCE S.A.S","FR","RUNGIS CEDEX",NA,NA,"ENDO01"
"SOLUTIONS INTEGREES & CLOISONS (SIC)","FR","MELAMARE",NA,"792197592","SIC-04"
"POMPES GROSCLAUDE","FR","BRON",NA,"50966640000023","POMP02"
"ABB FRANCE - ABB ASEA BROWN BOVERI LTD COMPANY","FR","COURTABOEUF",NA,"33514631200210","ABB-01"
"REVOL SARL","FR","VILLEURBANNE CEDEX",NA,"95551204100034","REVO01"
"LOCABRI & ICARE INDUSTRIES DEPARTMENT","FR","BRIGNAIS",NA,"30445316000026","LOCA02"
"LOSBERGER GROUP (FRANCE)","FR","BRUMATH",NA,"44906233000021","LOSB01"
"SCHNEIDER ELECTRIC (FRANCE) (CRITICAL POWER & COOLING SERV.)","FR","DECINES",NA,NA,"ELE275"
"PGEP - PROFESSIONAL GENERAL ELECTRONIC PRODUCT","FR","VERNON","82327919452","38172406100019","PPG-01"
"SOCOTEC S.A.","FR","BOURG EN BRESSE",NA,"54201665400882","SOCO07"
"HADEF FRANCE","FR","JANNEYRAS",NA,NA,"HADE01"
"ETABLISSEMENTS P. CLAUX & FILS ET CIE","FR","BRIVE LA GAILLARDE",NA,"30133209400012","EPC-04"
"MORGAN ADVANCED CERAMICS","FR","BARENTIN",NA,NA,"MAC-06"
"INEO GDF SUEZ (FR) - COFELY (ES)","FR","SAINT GENIS POUILLY",NA,NA,"GR2T76"
"SARL GENEVE ESPACES VERTS( WIESMANN PEPINIERISTE-PAYSAGISTE","FR","PREVESSIN-MOENS",NA,"37882766100018","WIES50"
"SIEPEL S.A.S","FR","LA TRINITE SUR MER",NA,NA,"SIEP01"
"SCHNEIDER ELECTRIC IT FRANCE","FR","SAINT PRIEST","73444643720","44464372000238","MGE-01"
"BAMO MESURES","FR","ARGENTEUIL",NA,"31405586400065","BAMO50"
"ETRONICS (FRANCE)","FR","ST GERMAIN EN LAYE","56315382937","31538293700029","ETRO01"
"CEIHP","FR","ANNEMASSE",NA,"44123281600021","CEIH01"
"T.S.A. (TECHNOLOGIES ET SYSTEMES D'AUTOMATISATION)","FR","TAVERNY CEDEX",NA,"33966046600022","TSA-01"
"ELCOM","FR","BOURGOIN JALLIEU",NA,"34027657500040","ELCO01"
"BRONKHORST FRANCE","FR","MONTIGNY LES CORMEILLES",NA,"35271482800014","INS-03"
