"supplier_name","country","city","vat_number","registration_number","supplier_code"
"BAC ENGINEERING CONSULTANCY GROUP","ES","BARCELONA",NA,NA,"BOMA03"
"INSTALACIONES INABENSA","ES","SEVILLA","A41694266","A41694266","INAB01"
"COMSA EMTE","ES","ESPLUGUES DE LLOBREGAT",NA,NA,"EMTE02"
"FUNDICIONES FUNSAN SCL","ES","DURANGO (VIZCAYA)","B-48032049",NA,"FUNS50"
"GRUPO GENERAL CABLE SISTEMAS SA","ES","BARCELONA",NA,"B61966420","CABL75"
"TRINOS VACUUM-PROJECTS","ES","PATERNA (VALENCIA)",NA,NA,"TVP-02"
"TALLERES PIEDRAFITA S.A.","ES","HUESCA","A-22016208","B22016208","TALL01"
"TALLERES PIEDRAFITA S.L.","ES","HUESCA","A-22016208","B22016208","TALL01"
"NOVATEK EUROPA S.L.","ES","MADRID",NA,NA,"NOVA09"
"INGOVI","ES","TERRASSA","B63124788",NA,"INGO81"
"GTD SA - SPIE TRINDEL - HEKATRON GMBH","ES","BARCELONA","A58 393 778",NA,"GR3S03"
"TELSTAR TECNOLOGIA MECANICA, S.L.","ES","ALDAIA, VALENCIA","B63124788",NA,"TTM-01"
"IDOM INGENIERIA S.A.","ES","MADRID",NA,NA,"IDOM02"
"ANTEC S.A.","ES","PORTUGALETE",NA,"A48511737","ANTE01"
"G&P VACUUM-PROJECTS","ES","PATERNA (VALENCIA)",NA,NA,"GPVP01"
"ENERTRON","ES","TORRES DE LA ALAMEDA (MADRID)",NA,NA,"ENER09"
"IDESA","ES","GIJON (ASTURIAS)",NA,NA,"IDES01"
"CENTRO DE ESTUDIOS Y EXPERIM.DE OBRAS PUBLICAS","ES","MADRID","Q28 170 03C",NA,"CENT05"
"INGESA BARRACHINA","ES","PATERNA",NA,"B98456080","BARR11"
"UNIVERSIDAD DE OVIEDO","ES","OVIEDO, ASTURIAS",NA,NA,"UNI207"
"ERASAN TECHNOLOGY","ES","VALENCIA",NA,"B98380884","TEC496"
"INT GRUP CONGRESS AND EVENTS","ES","BARCELONA",NA,NA,"UNIV50"
"VACUUM-PROJECTS (THE)","ES","PATERNA (VALENCIA)",NA,NA,"TVP-02"
"INDRA SISTEMAS","ES","ALCOBENDAS (MADRID)",NA,NA,"INDR50"
"EMTE (SP) - DRAKA (DE)","ES","BARCELONA",NA,NA,"GR2T96"
"BOMAINPASA","ES","BARCELONA",NA,NA,"BOMA03"
"TEYCO","ES","BARCELONA","08156572",NA,"TEYC01"
"TOP PROYECTOS Y CONTRATAS, S.L.","ES","BARCELONA","08156572",NA,"TEYC01"
"GEC/ES, GEC/FR +CEGELEC+CLEMESSY","ES","MADRID",NA,NA,"GR3S04"
"GEC(ES) GEC(FR)+ CEGELEC+CLEMESSY","ES","MADRID",NA,NA,"GR3S04"
"GEC ALSTHOM TRANSPORTE S.A.","ES","MADRID",NA,NA,"GEC-03"
"ALSTOM(ES) ALSTOM(FR) CLEMESSY (FR)","ES","MADRID",NA,NA,"GR3S04"
"GTD S.A.","ES","BARCELONA",NA,NA,"GTD-50"
"MESTRE ARQUITECTOS","ES","BARCELONA",NA,"B65353211","MEST01"
"BOMA (BRUFAU, OBIOL, MOYA & ASSOCIATES)","ES","BARCELONA",NA,NA,"BOMA03"
"DOPEC","ES","BARCELONA",NA,"B60452430","DOPE01"
"FORCIMSA","ES","BARCELONA",NA,NA,"FORC06"
"PIE XAVIER","ES","SANT QUIRZE DEL VALLES,","35079818B",NA,"PIE-02"
"ALUVISILES","ES","SANTA PERPETUA DE LA MOGODA",NA,"B60830767","ALUV01"
"PREINCO","ES","SAN MARTIN DE LA VEGA",NA,"A78987450","PREI01"
"ISOLUX INGENERIA","ES","MADRID",NA,"U85542546","ISOL16"
"FML","ES","BARCELONA",NA,"B65779563","FML-01"
"CADITASA","ES","SANT BOI DE LLOBREGAT",NA,"B58183724","CADI05"
"ADIVA - AISLAMIENTOS Y DIVISIONES DEL VALLES","ES","SABADELL","B62423785","B04672127","ADIV02"
NA,"ES","BARCELONA",NA,NA,"FORC06"
"MEFUSPER SL","ES","BARCELONA",NA,"B66064064","MEFU01"
"AZUL ACOCSA","ES","BARCELONA",NA,"B08272742","AZUL01"
"ARNELA COLL","ES","BARCELONA",NA,"B62260062","ARNE01"
"ASCENSORS DEL VALLES","ES","SENTMENAT","58326067","A58326067","ADV-04"
"CLARA TORMO SORIANO","ES","BONREPOS MIRAMBELL (VALENCIA)",NA,NA,"CLAR12"
"VIVERS TER, S.A.","ES","ANGLES - GIRONA",NA,"A17217811","VIVE01"
"MCD GRUP","ES","BARCELONA",NA,NA,"MCD-01"
"FDESIGNSTUDIO","ES","BADALONA",NA,"XX","FDES01"
"TALLERES JOSE ARROYO, S.L.","ES","LECINENA ZARAGOZA",NA,"B50839026","TJA-01"
"ESTEL IBERICA","ES","BARCELONA","A 059057398","A59057398","ESTE05"
"GUERAU SL","ES","BARCELONA",NA,"B58572470","GUER05"
"ADIVA","ES","SABADELL","B62423785","B04672127","ADIV02"
"TELESONIC","ES","LASARTE-ORIA GUIPUZCOA",NA,"U75059741","TEL-42"
"SEVEN SOLUTIONS","ES","GRANADA",NA,NA,"SEVE04"
"INTEGRASYS S.A.","ES","LAS ROZAS","79429171","A79429171","INT246"
"MASTER INGENIERIA ARQUITECTURA","ES","BARCELONA",NA,"A62913264","MIA-02"
"ABB SA","ES","MADRID",NA,NA,"ABB-38"
"ABB (SPAIN)","ES","MADRID",NA,NA,"ABB-38"
"COFELY ESPANA SAU (GDF-SUEZ GROUP)","ES","L'HOSPITALET DE LLOBREGAT",NA,"V63048045","COFE01"
"DMP - DESARROLLOS MECANICOS DE PRECISION","ES","MENDARO (GIPUZKOA)",NA,"B20644993","DMP-01"
"TEKNIKER","ES","EIBAR (GUIPUZCOA)",NA,"G20545729","TEKN02"
"CIEMAT","ES","MADRID",NA,"Q2820002J","CIEM01"
"ALBA CELLS - CONSORCIO PARA LA CONSTRUCCION, EQUIPAMIENTO Y","ES","CERDANYOLA DEL VALLES","Q0801209H",NA,"CONS24"
"CSIC","ES","MADRID",NA,NA,"CSIC02"
"G.T.D / ES - CETE APAVE / FR","ES","BARCELONA",NA,NA,"GR2S29"
"FUNDICIONES DURANGO SA","ES","ABADINO (BIZKAYA)",NA,NA,"FUND04"
"CROVISA","ES","BARCELONA",NA,NA,"CROV01"
"ROMPAL INGENIEROS SA","ES","L'HOSPITALET DE LLOBREGAT",NA,"A08934119","ROMP50"
"JEMA SA","ES","MADRID",NA,NA,"JEMA25"
"CTS","ES","ALCALA DE HENARES  (MADRID)","B79434031","B79434031","CTS-50"
"ADDED VALUE SOLUTIONS","ES","ELGOIBAR",NA,"B20912408","AVS-03"
"GENERAL CABLE (SPAIN)","ES","BARCELONA",NA,"B61966420","CABL75"
"ORMAZABAL INTERNATIONAL BUSINESS","ES","ZAMUDIO BIZKAIA",NA,"B95288338","INT315"
"AKHELEC","ES","BARCELONA","64888720","B64888720","AKHE01"
"NORTEMECANICA S.A.","ES","CARRENO (ASTURIAS)","-A33771445","A33771445","NORT03"
"TELSTAR INDUSTRIAL SL (TELSTAR TECHN MECANICA (EX INGOVI ))","ES","TERRASSA","B63124788",NA,"INGO81"
"ASTURFEITO S.L.","ES","CARRENO (ASTURIAS)","B33344078",NA,"ASTU01"
"GRAU ALCAZAR MAQUETAS","ES","BARCELONA","37.293.884-M",NA,"GAM-01"
"TALLERES MERCIER S.A.","ES","ZARAGOZA","A50004431",NA,"TALL07"
"CTS-CENTRO DE TRATAMIENTOS DE LA SUPERFICIE","ES","ALCALA DE HENARES  (MADRID)","B79434031","B79434031","CTS-50"
"SENER INGENIERIA Y SISTEMAS S.A.","ES","TRES CANTOS (MADRID)",NA,NA,"SENE50"
"MONDIAL & CITITRAVEL CONGRESOS SL","ES","BARCELONA",NA,NA,"MOND05"
"INSTITUTO DE FISICA CORPUSCULAR (IFIC)","ES","PATERNA  - VALENCIA",NA,NA,"INS-68"
"ELYTT ENERGY","ES","MADRID","B95235495",NA,"ELYT01"
"HOTEL H10 MARINA BARCELONA","ES","BARCELONA",NA,"XXXXX","HOTEG8"
"HOTEL CAMPUS","ES","BELLATERRA",NA,NA,"HOTEI3"
"ROSENBAUER ESPANOLA","ES","MADRID","A28859833","A28859833","ROSE05"
"ANTEC","ES","PORTUGALETE",NA,"A48511737","ANTE01"
"ENERTRON S.A.","ES","TORRES DE LA ALAMEDA (MADRID)",NA,NA,"ENER09"
"AUXITROL IBERICO SA","ES","TORREJON DE ARDOZ",NA,NA,"AUXI50"
"EUS TECHNOLOGIAS SA","ES","MADRID",NA,NA,"EUS-01"
"FIBERTECNIC S.A.","ES","ALAVA",NA,NA,"FIBE80"
"DRAGADOS Y CONSTRUC.SA/S.E.L.I.SPA","ES","MADRID",NA,NA,"GR2S18"
"TECNICAS AERONAUTICAS MADRID (TAM)","ES","MOSTOLES","G80397409",NA,"TECN01"
"ELAY","ES","ANTZUOLA (GUIPUZCOA)","20540415",NA,"ELAY01"
"UNIVERSIDAD DE MADRID","ES","MADRID",NA,NA,"UNIV89"
"CUNADO INTERNACIONAL S.A.","ES","ALCANA DE HENARES (MADRID)",NA,NA,"CUNA01"
"BICC GENERAL CABLE S.A.","ES","BARCELONA","108 102 790",NA,"BICC03"
"TROBO SA","ES","RUBI (BARCELONA)",NA,NA,"TROB01"
"BICC CABLES ESPANA","ES","BARCELONA",NA,"B61966420","CABL75"
"GRUPO DURO FELGUERA","ES","BARROS ASTURIAS",NA,NA,"FELG01"
"CASA (CONSTRUC. AERONAUTICAS)","ES","MADRID-BARAJAS",NA,NA,"CASA05"
"ICMA-INSTITUTO DE CIENCIA DE MATERIALES DE ARAGON","ES","ZARAGOZA",NA,NA,"ICMA50"
"INDUSA C.B.","ES","SALINAS ASTURIAS",NA,NA,"INDU14"
"GTD/ES-CEGELEC/FR-ALSTOM S&S/BE","ES","BARCELONA",NA,NA,"GR3S32"
"EMPRESARIOS AGRUPADOS","ES","MADRID",NA,"V28664472","AGRU50"
"ESMENA SA","ES","GIJON",NA,NA,"ESME02"
"LANTEC","ES","AIZOAIN-NAVARRA",NA,NA,"LANT01"
"GTD SA/ES, ALSTOM SA/FR","ES","BARCELONA",NA,NA,"GR2S84"
"EADS CASA ESPACIO SL (EX CASA (CONSTRUC. AERONAUTICAS))","ES","MADRID-BARAJAS",NA,NA,"CASA05"
"TTM -TELSTAR TECHNOLOGIA MECANICA S.L.( EX INGOVI )","ES","TERRASSA","B63124788",NA,"INGO81"
"CONSTRUCCIONS MECANIQUES SOLPEY SL","ES","SANT VICENC DE CASTELLET","B08518276","B08518276","SOLP75"
"INSYTE","ES","MADRID",NA,NA,"INSY02"
"TELSTAR S.A.","ES","TERRASSA (BARCELONA)",NA,"B63797559","TELS75"
"SERTEC SL","ES","GETAFE (MADRID)",NA,"B83379792","SERT07"
"CRYOVAC (SPAIN)","ES","FUENLABRADA, MADRID","B81572430","B81572430","CRYO16"
"CADINOX","ES","BELAUNTZA",NA,"A20076105","CADI04"
"ARATZ","ES","VITORIA-GASTEIZ (ALAVA)",NA,"A01011238","TALL03"
"AZBIL TELSTAR TECHNOLOGIES","ES","TERRASSA (BARCELONA)",NA,"B63797559","TELS75"
"SERTEC","ES","GETAFE (MADRID)",NA,"B83379792","SERT07"
